"Kommune","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"

"Copenhagen",9,7,12,9,9,7,12,18,17,105,65,31,11,23,10,13,17,20
"Frederiksberg",1,0,2,0,2,3,9,44,77,99,34,10,8,7,5,3,2,11
"Drag�r",0,2,0,0,0,0,4,11,25,27,4,4,1,1,0,1,2,1
"T�rnby",0,2,0,0,1,2,10,22,47,42,13,18,3,1,0,2,6,3
"Albertslund",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
"Ballerup",0,2,0,0,1,1,0,3,21,22,11,2,0,0,0,1,2,2
"Br�ndby",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2
"Gentofte",0,0,1,1,0,6,6,30,54,95,34,16,4,8,2,1,2,20
"Gladsaxe",0,0,2,0,0,1,2,8,21,32,5,4,3,2,8,0,2,8
"Glostrup",0,0,0,0,0,1,0,0,15,12,14,1,0,0,0,3,0,0
"Herlev",0,0,0,0,0,2,0,1,6,12,7,0,3,3,1,1,2,2
"Hvidovre",0,0,0,0,0,2,3,11,13,10,6,5,1,3,0,1,1,4
"H�je-Taastrup",1,0,1,0,0,1,0,7,1,6,0,0,0,2,0,1,1,6
"Ish�j",0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0
"Lyngby-Taarb�k",1,0,2,0,5,3,8,33,79,51,37,16,3,6,4,0,4,2
"R�dovre",1,0,0,0,0,0,1,1,15,5,9,1,2,1,4,0,0,1
"Vallensb�k",0,0,0,0,0,0,0,2,15,4,0,0,0,1,0,0,0,0
"Aller�d",0,1,0,0,3,3,7,38,79,58,1,2,3,9,4,1,2,5
"Egedal",0,0,0,12,6,6,8,46,67,70,29,8,1,1,1,1,1,4
"Fredensborg",1,0,1,0,1,1,0,6,35,36,12,1,2,1,3,0,2,4
"Frederikssund",2,1,2,7,5,2,3,50,153,72,27,6,2,7,7,11,5,4
"Fures�",1,0,0,0,0,0,3,34,60,38,15,5,4,7,3,5,2,0
"Gribskov",0,0,0,3,8,8,25,95,182,71,36,2,4,4,9,7,10,12
"Halsn�s",0,0,0,3,2,3,12,39,89,60,30,6,4,3,3,0,6,10
"Helsing�r",0,0,0,0,7,6,15,36,72,89,41,14,2,3,0,0,5,9
"Hiller�d",0,0,0,0,0,0,3,47,112,77,17,6,2,2,4,0,3,21
"H�rsholm",0,0,0,0,0,0,0,13,50,18,13,7,1,1,1,5,1,2
"Rudersdal",5,1,1,0,0,0,5,36,112,74,30,19,0,2,4,7,9,13
"Bornholm",0,0,0,0,0,0,0,82,90,74,8,3,9,7,3,0,2,1
"Christians�",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greve",0,0,0,0,2,4,17,34,89,33,15,13,12,2,0,2,5,4
"K�ge",0,3,2,0,5,11,17,57,120,107,46,7,7,5,9,11,19,5
"Lejre",0,0,1,4,12,8,11,50,106,60,27,2,1,0,6,2,1,1
"Roskilde",0,0,6,3,5,9,27,57,174,134,30,18,7,10,9,7,13,3
"Solr�d",0,0,0,9,7,12,25,43,89,43,8,6,12,6,2,5,3,2
"Faxe",0,2,8,14,4,10,33,79,114,79,15,4,2,2,2,0,4,1
"Guldborgsund",0,0,9,11,3,19,20,79,143,112,44,20,3,4,3,1,3,5
"Holb�k",0,0,2,3,0,7,13,68,174,91,19,7,1,3,6,5,5,1
"Kalundborg",0,0,1,5,20,25,51,63,139,142,19,8,2,8,2,3,2,3
"Lolland",0,0,0,3,5,13,37,89,85,95,35,4,2,12,2,3,1,3
"N�stved",1,0,0,11,6,30,9,44,189,122,58,19,4,4,9,7,4,6
"Odsherred",0,0,0,0,0,13,25,87,152,88,24,11,9,4,7,3,2,8
"Ringsted",0,0,0,1,0,1,4,26,41,21,11,3,3,1,1,1,3,8
"Slagelse",1,1,0,3,10,30,39,78,134,129,25,16,22,8,14,18,9,7
"Sor�",0,0,0,0,0,4,12,33,52,51,7,11,1,15,4,1,0,2
"Stevns",0,0,0,2,8,0,3,29,42,33,4,4,1,1,0,1,0,2
"Vordingborg",0,0,0,6,7,28,21,67,175,126,34,22,4,5,16,15,3,6
"Assens",0,0,8,13,32,20,36,90,179,118,31,14,12,9,16,4,2,21
"Faaborg-Midtfyn",0,0,0,0,0,1,3,38,217,141,28,4,9,16,6,1,5,3
"Kerteminde",0,0,5,0,15,8,26,46,117,58,22,16,2,1,6,5,3,3
"Langeland",0,0,0,0,0,0,5,25,47,30,11,1,1,5,0,0,0,0
"Middelfart",0,2,6,0,0,18,37,93,169,84,24,11,5,12,11,2,2,7
"Nordfyns",0,0,0,2,13,10,22,62,183,115,35,9,0,9,3,6,2,7
"Nyborg",0,0,1,1,1,16,7,34,134,94,6,23,3,11,3,8,3,7
"Odense",0,2,1,9,16,5,26,96,299,215,41,31,26,11,16,8,16,32
"Svendborg",0,0,3,14,15,9,19,70,102,95,37,7,5,5,8,0,3,2
"�r�",0,0,0,0,0,0,0,0,24,16,3,1,1,0,1,0,0,0
"Billund",0,1,7,4,9,19,25,50,87,75,12,8,8,11,4,1,6,9
"Esbjerg",0,0,4,0,12,11,35,130,318,265,53,37,15,12,11,13,24,15
"Fan�",0,0,0,0,0,0,0,7,18,38,6,0,0,3,0,0,0,0
"Fredericia",1,2,10,10,5,33,36,31,124,104,42,2,1,5,8,4,6,5
"Haderslev",1,0,0,2,16,10,32,111,223,117,16,4,8,8,5,2,15,11
"Kolding",0,0,3,21,8,12,27,82,216,147,49,26,6,2,6,15,7,22
"S�nderborg",0,0,1,0,3,31,41,102,216,222,49,32,7,6,17,22,3,10
"T�nder",0,0,0,0,1,1,4,37,142,150,34,15,6,12,13,7,3,3
"Varde",0,0,0,1,0,0,18,67,185,152,24,5,17,0,5,3,1,5
"Vejen",0,8,5,3,11,7,33,102,177,134,29,7,5,8,2,10,15,14
"Vejle",3,15,9,23,24,10,26,90,259,271,63,34,7,14,7,13,22,29
"Aabenraa",0,0,0,0,13,31,26,120,241,163,17,20,13,10,7,2,3,12
"Favrskov",0,3,10,14,16,22,30,81,191,117,28,10,8,0,9,7,3,6
"Hedensted",0,1,0,15,11,20,22,64,120,114,23,33,12,10,2,7,8,16
"Horsens",0,4,5,20,20,25,54,147,276,202,37,15,4,4,12,24,12,6
"Norddjurs",1,4,3,8,11,10,30,61,116,86,44,8,5,4,3,3,6,9
"Odder",0,0,3,5,8,7,26,39,103,97,23,5,5,2,3,10,4,0
"Randers",0,0,0,0,0,0,14,107,243,177,54,16,27,11,2,3,8,19
"Sams�",0,0,0,0,0,0,0,9,13,25,7,5,0,0,0,4,0,0
"Silkeborg",0,0,8,44,18,49,52,139,233,215,56,34,13,15,17,7,9,13
"Skanderborg",0,0,3,2,9,25,26,76,181,165,48,18,7,10,12,2,3,22
"Syddjurs",6,12,1,1,14,7,13,75,144,106,30,5,6,13,3,1,3,6
"Aarhus",3,2,2,3,7,9,23,115,306,241,65,52,22,29,9,25,41,46
"Herning",0,0,0,6,16,17,24,89,203,189,53,8,8,15,5,7,20,30
"Holstebro",0,0,0,10,5,34,26,96,149,107,18,10,10,5,4,8,5,6
"Ikast-Brande",0,0,0,0,0,0,0,6,60,88,23,2,7,10,4,4,4,9
"Lemvig",0,0,4,0,0,19,15,44,71,53,15,4,0,1,0,0,0,3
"Ringk�bing-Skjern",0,0,0,0,0,8,22,82,203,139,52,11,16,11,13,4,2,5
"Skive",0,1,7,3,14,13,17,64,153,95,32,8,5,7,14,6,3,11
"Struer",0,9,2,10,5,20,17,34,91,77,14,2,8,1,4,2,0,7
"Viborg",0,0,1,15,23,43,58,128,191,182,43,26,9,13,10,8,3,12
"Br�nderslev",0,0,2,0,0,0,11,108,131,78,13,3,5,2,3,0,5,4
"Frederikshavn",0,0,0,7,15,13,49,128,187,101,13,20,4,4,1,7,9,3
"Hj�rring",0,0,0,0,3,18,36,144,171,94,17,24,7,8,4,2,5,3
"Jammerbugt",0,2,3,18,18,14,8,35,81,63,18,7,1,1,1,0,1,7
"L�s�",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"Mariagerfjord",0,0,0,0,18,15,37,105,114,103,22,26,3,2,3,7,2,14
